room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8395271,4159382,Shared room,,24,0,0.0,1,1.0,67.0,,56.162881,10.203689,2017-01-21 11:44:34.731553
7566424,30655819,Shared room,,1,1,0.0,1,1.0,47.0,,56.141997,10.2066,2017-01-21 11:44:33.996160
6702697,670310,Shared room,,1,2,0.0,2,1.0,25.0,,56.141973,10.206057,2017-01-21 11:44:32.921240
6778463,20693961,Shared room,,3,0,0.0,5,1.0,10.0,,56.173203,10.182304,2017-01-21 11:44:32.918071
9398947,48746007,Shared room,,24,0,0.0,2,1.0,30.0,,56.145004,10.188038,2017-01-21 11:44:32.912565
12130889,21971193,Shared room,,24,2,0.0,1,1.0,16.0,,56.158612,10.185144,2017-01-21 11:44:32.907041
12313490,36133977,Shared room,,24,3,5.0,1,1.0,38.0,,56.158547,10.20257,2017-01-21 11:44:32.904686
16091993,79205128,Shared room,,24,1,0.0,1,1.0,13.0,,56.159979,10.20496,2017-01-21 11:44:32.902068
15529135,60266236,Shared room,,11,0,0.0,2,1.0,27.0,,56.185614,10.115516,2017-01-21 11:44:32.899651
14778542,17790044,Shared room,,24,19,5.0,3,1.0,28.0,,56.157669,10.212596,2017-01-21 11:44:32.895725
9902368,50923444,Entire home/apt,,24,3,5.0,8,4.0,236.0,,56.158782,10.209972,2017-01-21 11:42:26.260792
14264152,19975539,Entire home/apt,,24,1,0.0,5,5.0,251.0,,56.155434,10.207048,2017-01-21 11:42:01.178510
7931231,36998364,Entire home/apt,,24,16,5.0,6,3.0,111.0,,56.14453,10.200208,2017-01-21 11:41:46.195915
6727547,33668991,Entire home/apt,,24,0,0.0,6,3.0,111.0,,56.155068,10.204948,2017-01-21 11:41:46.193475
6464139,33760524,Entire home/apt,,24,0,0.0,5,2.0,89.0,,56.17044,10.215434,2017-01-21 11:41:42.532038
12335514,66581872,Entire home/apt,,24,2,0.0,5,3.0,89.0,,56.161492,10.204734,2017-01-21 11:41:40.916332
11562476,61071917,Entire home/apt,,24,1,0.0,6,3.0,177.0,,56.145348,10.189978,2017-01-21 11:41:24.647233
6700480,34344471,Entire home/apt,,6,0,0.0,5,2.0,147.0,,56.156397,10.181552,2017-01-21 11:41:22.622830
6149374,5420123,Entire home/apt,,24,25,5.0,4,2.0,137.0,,56.143594,10.205213,2017-01-21 11:41:17.407926
8011673,42300824,Entire home/apt,,2,0,0.0,4,3.0,140.0,,56.132953,10.186948,2017-01-21 11:41:13.081575
5507580,28445003,Entire home/apt,,24,22,4.0,4,2.0,88.0,,56.160108,10.200248,2017-01-21 11:41:00.189312
5718212,8656027,Entire home/apt,,24,2,0.0,4,2.0,96.0,,56.173461,10.21626,2017-01-21 11:41:00.186508
6917279,36255320,Entire home/apt,,3,3,4.5,4,2.0,37.0,,56.166395,10.1856,2017-01-21 11:40:31.298101
12928450,17563994,Entire home/apt,,2,3,4.5,4,1.0,40.0,,56.142745,10.190695,2017-01-21 11:40:31.290889
6600101,34528640,Entire home/apt,,24,4,3.5,5,2.0,177.0,,56.158646,10.206785,2017-01-21 11:40:19.449250
