room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
1256165,1353,6842647,Entire home/apt,,Aarhus,,24,6,4.0,5,1.0,,116.0,,Apartment in the heart of Aarhus,2017-06-19 08:52:11.112656,56.155217,10.194419,0101000020E61000002A711DE38A63244041649126DE134C40
3130430,1353,15897181,Entire home/apt,,Aarhus,,1,5,5.0,6,3.0,,108.0,,Hus med dejlig have 5 km fra Århus,2017-06-19 08:52:09.777091,56.119435,10.165453,0101000020E6100000D80C7041B6542440B77F65A5490F4C40
5323017,1353,27578767,Entire home/apt,,Aarhus,,24,7,5.0,4,1.0,,107.0,,Moderne lejlighed med lækker altan,2017-06-19 08:52:09.773051,56.152694,10.19328,0101000020E610000017F19D98F5622440D0251C7A8B134C40
11428332,1353,18158614,Entire home/apt,,Aarhus,,6,1,0.0,5,3.0,,108.0,,City house very nearby city center,2017-06-19 08:52:06.902399,56.143877,10.160999,0101000020E61000009E60FF756E522440C4D2C08F6A124C40
16960438,1353,112572712,Entire home/apt,,Aarhus,,1,5,5.0,6,2.0,,115.0,,"Family friendly apartment, close to City Center",2017-06-19 08:52:06.887739,56.121348,10.179034,0101000020E61000007FBE2D58AA5B2440AEB7CD54880F4C40
10868818,1353,56306900,Entire home/apt,,Aarhus,,24,27,4.0,4,2.0,,124.0,,Modern 2 bedroom apartment in Aarhus C,2017-06-19 08:52:06.854669,56.156383,10.199124,0101000020E610000089B2B794F36524403F53AF5B04144C40
15643118,1353,9361205,Entire home/apt,,Aarhus,,10,1,0.0,5,2.0,,108.0,,Unikt familievenligt hus,2017-06-19 08:52:05.253936,56.155245,10.112819,0101000020E61000001FBC7669C33924400BEF7211DF134C40
7837183,1353,41282753,Entire home/apt,,Aarhus,,24,1,0.0,3,2.0,,108.0,,Town house in the center of Aarhus,2017-06-19 08:52:03.798050,56.163971,10.206547,0101000020E6100000802C4487C0692440073F7100FD144C40
2775088,1353,14192583,Entire home/apt,,Aarhus,,24,76,5.0,4,2.0,,124.0,,Luxury penthouse in Aarhus C,2017-06-19 08:52:03.795483,56.159583,10.197354,0101000020E610000036785F950B652440B0FF3A376D144C40
18788729,1353,67166668,Entire home/apt,,Aarhus,,24,0,0.0,3,1.0,,108.0,,Urban living in the center of Aarhus,2017-06-19 08:52:03.790867,56.159432,10.213867,0101000020E61000002463B5F97F6D2440CBF78C4468144C40
3142488,1353,15955710,Entire home/apt,,Aarhus,,24,13,4.5,4,2.0,,116.0,,Spacious apartment in Aarhus,2017-06-19 08:52:03.770340,56.146185,10.194509,0101000020E61000002A8E03AF966324403815A930B6124C40
16924190,1353,113046944,Entire home/apt,,Aarhus,,24,0,0.0,4,2.0,,108.0,,Modern apartment at the harbor in Aarhus,2017-06-19 08:52:02.263604,56.165577,10.230575,0101000020E6100000E78C28ED0D76244022FC8BA031154C40
6014842,1353,31221706,Entire home/apt,,Aarhus,,24,0,0.0,6,2.0,,111.0,,Great cityhouse with own parking,2017-06-19 08:52:02.254444,56.171708,10.21523,0101000020E6100000753C66A0326E2440153B1A87FA154C40
16319929,1353,36116557,Entire home/apt,,Aarhus,,24,4,5.0,2,1.0,,108.0,,cozy apartment to rent,2017-06-19 08:52:02.241512,56.162174,10.20954,0101000020E61000005E68AED3486B244079211D1EC2144C40
6979250,1353,15094859,Entire home/apt,,Aarhus,,24,0,0.0,3,1.0,,123.0,,Quite appartment near Aarhus center,2017-06-19 08:52:00.685955,56.164263,10.214622,0101000020E610000015014EEFE26D2440AF78EA9106154C40
14181803,1353,85916246,Entire home/apt,,Aarhus,,24,0,0.0,4,1.0,,124.0,,130kvm stor lejlighed i hjertet af Aarhus,2017-06-19 08:52:00.680275,56.154906,10.198979,0101000020E61000007B2E5393E065244022FAB5F5D3134C40
10217684,1353,12942733,Entire home/apt,,Aarhus,,24,0,0.0,4,2.0,,116.0,,Cozy loft in the city center,2017-06-19 08:52:00.672578,56.162169,10.213523,0101000020E61000003BE3FBE2526D244067B62BF4C1144C40
13528221,1353,33132635,Entire home/apt,,Aarhus,,24,15,4.5,4,2.0,,107.0,,Nordic style with large balcony,2017-06-19 08:52:00.670191,56.164808,10.207371,0101000020E610000013471E882C6A2440410FB56D18154C40
13834638,1353,81602815,Entire home/apt,,Aarhus,,24,21,4.5,3,1.0,,108.0,,Cozy medium-sized apartment in the heart of Aarhus,2017-06-19 08:51:58.926784,56.15964,10.193954,0101000020E610000055DB4DF04D632440159161156F144C40
19093214,1353,51527913,Entire home/apt,,Aarhus,,24,0,0.0,4,1.0,,108.0,,Wonderful appartment in the centre of Aarhus,2017-06-19 08:51:57.710908,56.163298,10.200643,0101000020E6100000B857E6ADBA66244048C0E8F2E6144C40
7306195,1353,38273112,Entire home/apt,,Aarhus,,24,1,0.0,2,1.0,,108.0,,Skøn lejlighed nær centrum og skov.,2017-06-19 08:51:57.700960,56.144043,10.190118,0101000020E610000009C3802557612440DF1B430070124C40
19064952,1353,133089022,Entire home/apt,,Aarhus,,24,0,0.0,5,2.0,,116.0,,Stille og central lejlighed i Aarhus C,2017-06-19 08:51:56.070992,56.153101,10.18955,0101000020E6100000E2E995B20C61244011FE45D098134C40
17017639,1353,21492115,Entire home/apt,,Aarhus,,24,0,0.0,7,4.0,,123.0,,Herskabslejlighed midt i Aarhus i roligt kvarter,2017-06-19 08:51:56.043037,56.14502,10.201067,0101000020E6100000139CFA40F26624400AA2EE0390124C40
13738720,1353,80419625,Entire home/apt,,Aarhus,,24,0,0.0,3,1.0,,116.0,,Rummelig lejlighed,2017-06-19 08:51:54.369458,56.148605,10.207233,0101000020E6100000CF4D9B711A6A2440D482177D05134C40
8651022,1353,40495290,Entire home/apt,,Aarhus,,24,7,5.0,4,1.0,,107.0,,Penthouse i hjertet af Aarhus,2017-06-19 08:51:54.363952,56.159232,10.207013,0101000020E610000096B1A19BFD692440043DD4B661144C40
18590895,1353,129093807,Entire home/apt,,Aarhus,,24,0,0.0,4,1.0,,116.0,,Fantastic apartment in the heart of Aarhus,2017-06-19 08:51:53.019297,56.159762,10.209189,0101000020E6100000AB5D13D21A6B24406092CA1473144C40
5700906,1353,29558394,Entire home/apt,,Aarhus,,24,1,0.0,4,2.0,,108.0,,"Large, cozy and light apartment in the center.",2017-06-19 08:51:53.005143,56.161527,10.203247,0101000020E61000002D05A4FD0F682440E335AFEAAC144C40
17356829,1353,68830916,Entire home/apt,,Aarhus,,24,3,4.0,2,1.0,,124.0,,Cozy apartment in the heart of Aarhus C.,2017-06-19 08:51:51.722654,56.155893,10.206552,0101000020E6100000C7D8092FC16924407156444DF4134C40
17155145,1353,115180148,Entire home/apt,,Aarhus,,24,2,0.0,4,1.0,,108.0,,Nice and clean flat with a convenient location,2017-06-19 08:51:51.715063,56.153277,10.188049,0101000020E61000004C1762F547602440501DAB949E134C40
7262067,1353,9821592,Entire home/apt,,Aarhus,,6,12,4.5,6,3.0,,124.0,,Lovely townhouse in the city,2017-06-19 08:51:51.709640,56.153878,10.167953,0101000020E6100000BA8784EFFD55244075C93846B2134C40
13523440,1353,15168714,Entire home/apt,,Aarhus,,24,14,5.0,2,1.0,,108.0,,Cozy flat with amazing terrace in central Aarhus,2017-06-19 08:51:51.705852,56.163536,10.19226,0101000020E61000006DA818E76F622440FDDB65BFEE144C40
18498217,1353,128365933,Entire home/apt,,Aarhus,,24,7,4.5,4,1.0,,108.0,,Bright apartment in the best area of Aarhus,2017-06-19 08:51:51.703652,56.148312,10.202721,0101000020E6100000C26C020CCB6724405BCD3AE3FB124C40
13487228,1353,77266286,Entire home/apt,,Aarhus,,24,8,5.0,4,2.0,,116.0,,Great apartment in the cozy Latin Quarter,2017-06-19 08:51:51.701159,56.159011,10.201776,0101000020E6100000433C122F4F672440255AF2785A144C40
1175904,1353,6435432,Entire home/apt,,Aarhus,,24,63,4.5,5,2.0,,107.0,,Large central family-friendly ,2017-06-19 08:51:51.679508,56.144215,10.193651,0101000020E6100000E6AC4F3926632440DC4B1AA375124C40
13183928,1353,8891721,Entire home/apt,,Aarhus,,24,6,5.0,4,2.0,,85.0,,Big bright beautiful apartment in perfect location,2017-06-19 08:51:43.036400,56.148027,10.199629,0101000020E610000097AAB4C53566244066F6798CF2124C40
19105086,1353,6792773,Entire home/apt,,Aarhus,,1,0,0.0,5,4.0,,101.0,,Lækkert rækkehus i attraktive Højbjerg,2017-06-19 08:51:34.140788,56.10821,10.21122,0101000020E6100000B2852007256C2440D28C45D3D90D4C40
14813806,1353,3659870,Entire home/apt,,Aarhus,,24,0,0.0,2,0.0,,97.0,,Cozy apartment in the center of Aarhus,2017-06-19 08:51:04.051098,56.154764,10.204891,0101000020E61000004E7D2079E7682440904C874ECF134C40
